"","Top1_Similar_Hotel","Top2_Similar_Hotel","Top3_Similar_Hotel","Top4_Similar_Hotel","Top5_Similar_Hotel"
"327285",793845,481664,652660,779175,75444
"328723",793845,481664,735973,729317,645568
"331946",481664,593483,350271,729317,793845
"340994",729317,481664,350271,735973,27886
"342540",593483,779297,350271,528227,481664
"343094",793845,593483,595990,350271,759402
"345397",793845,729317,481664,735973,551495
"350271",652660,798941,343094,788351,29051
"356424",705423,350271,729317,793845,595990
"357980",481664,735973,582121,729317,350271
"361342",793845,729317,705423,593483,735973
"362458",793845,481664,593483,550783,642190
"363678",481664,528594,779225,705423,551495
"364728",793845,793499,594474,64769,481664
"366438",793845,595990,481664,705423,729317
"367107",481664,350271,793845,729317,595990
"367491",793845,481664,593483,350271,705423
"370870",481664,793845,729317,593483,595990
"378523",729317,793845,705423,735973,593483
"379143",705423,481664,793845,253792,255202
"379885",481664,190943,293514,517092,300067
"384909",793845,705423,735973,601882,297220
"387644",735973,793845,705423,481664,73917
"390894",705423,735973,481664,350271,793845
"396125",793845,735973,481664,148132,595990
"400325",481664,613088,293514,675886,730965
"402353",793845,593483,735973,481664,350271
"406794",793845,735973,481664,705423,698672
"408794",793845,705423,729317,481664,735973
"410998",705423,481664,793845,350271,595990
"414917",593483,793845,729317,481664,735973
"415619",793845,705423,729317,735973,675886
"418098",642190,735973,481664,595990,350271
"418901",729317,784277,437757,735973,788351
"422044",705423,793845,729317,551495,735973
"431206",793845,593483,481664,575603,652660
"431635",729317,705423,481664,735973,595990
"432233",481664,705423,793845,645568,613088
"434097",793845,481664,406794,705423,735973
"437757",729317,481664,418901,245927,793845
"438089",793845,481664,593483,551495,735973
"440992",550783,729317,793845,481664,293514
"441424",481664,793845,551495,245927,546221
"442105",729317,735973,481664,593483,350271
"443698",793845,593483,735973,350271,784277
"444935",793845,481664,705423,350271,502869
"445345",481664,593483,735973,528022,642190
"445660",705423,481664,666142,350271,729317
"446592",481664,705423,784277,793845,550783
"446999",793845,481664,705423,642190,729317
"447151",793845,729317,489418,307470,702124
"450767",793845,705423,481664,735973,652660
"451719",729317,705423,350271,481664,735973
"460469",729317,481664,652660,793845,253792
"462341",593483,705423,595990,793845,481664
"467103",481664,593483,793845,735973,350271
"474452",705423,481664,350271,174592,746807
"478448",481664,245927,589194,666142,653459
"480245",481664,735973,729317,595990,656268
"481664",593483,571130,363678,83814,770281
"483779",593483,481664,575615,755431,83498
"484836",729317,593483,481664,350271,379885
"485237",481664,793845,705423,595990,245927
"489418",793845,593483,481664,729317,528227
"489832",705423,481664,729317,735973,784277
"494433",793845,481664,705423,735973,350271
"495862",481664,450767,588116,793845,730965
"498514",793845,735973,593483,481664,729317
"502869",481664,656268,108890,444935,729317
"503629",73917,481664,793845,293514,67841
"505012",481664,550783,705423,793845,656268
"505650",793845,705423,593483,784277,480245
"505804",481664,771758,255177,705423,97221
"507598",593483,729317,551495,595990,793845
"510836",705423,784277,793845,481664,729317
"514946",793845,481664,245927,735973,627213
"515088",793845,272597,735973,729317,593483
"515921",793845,481664,705423,245927,551495
"516482",793845,593483,735973,656268,550783
"517092",729317,652660,741398,481664,255177
"517996",481664,735973,793845,675886,517092
"522471",481664,705423,729317,735973,73917
"528022",793845,481664,746807,445345,437757
"528227",729317,481664,75444,705423,53067
"528594",793845,593483,363678,550783,481664
"528704",481664,705423,729317,735973,613110
"530136",793845,735973,481664,729317,350271
"533623",481664,809177,489418,314235,356424
"538723",481664,793845,705423,729317,593483
"539579",652660,481664,406794,245927,730965
"543930",729317,481664,705423,735973,593483
"543932",481664,705423,793845,809177,306852
"544506",793845,593483,729317,735973,481664
"546221",793845,481664,729317,735973,570753
"549310",705423,735973,481664,67841,642190
"550783",729317,788351,601882,174592,255809
"551495",481664,714884,590681,67841,705423
"551606",481664,729317,642190,793845,735973
"552145",593483,729317,481664,705423,735973
"553216",793845,652660,481664,735973,698672
"553514",793845,481664,735973,528227,555399
"555225",481664,735973,642190,613088,595990
"555399",705423,793845,481664,593483,551495
"561022",481664,793845,758600,705423,601882
"561297",550783,517092,793845,481664,571130
"561713",729317,481664,793845,593483,480245
"563682",793845,729317,735973,550783,517092
"564826",481664,793845,656268,783348,735973
"565735",793845,481664,698672,729317,550783
"568005",793845,481664,551495,705423,784277
"568446",356424,245927,481664,489418,517092
"570478",705423,481664,666142,779225,43980
"570753",793845,481664,705423,678393,546221
"571029",729317,481664,528227,735973,802052
"571130",481664,118097,137026,705423,406794
"572208",705423,729317,481664,793845,593483
"575603",729317,793845,590236,593483,702124
"575615",729317,705423,481664,642190,645568
"579851",705423,793845,735973,481664,293514
"580978",481664,705423,652660,779225,729317
"581342",793845,481664,784277,729317,528022
"581869",481664,350271,645579,245927,735973
"582028",481664,450767,245927,735973,705423
"582030",793845,593483,481664,735973,595990
"582121",307497,406794,481664,779175,696113
"582135",593483,705423,481664,350271,794322
"582280",595990,350271,729317,742634,481664
"582382",481664,729317,793845,735973,593483
"584938",481664,729317,593483,705423,735973
"588020",481664,729317,705423,793845,735973
"588059",705423,593483,735973,481664,350271
"588116",793845,729317,595990,735973,481664
"588288",481664,705423,793845,735973,698672
"589194",793845,593483,698672,481664,478448
"589237",705423,645568,550783,83498,307497
"590236",793845,735973,528227,593483,350271
"590386",652660,481664,729317,793845,705423
"590681",481664,551495,779225,729317,679838
"591951",593483,729317,793845,481664,735973
"593101",705423,73917,481664,798941,714243
"593483",481664,343094,528594,483779,137026
"594474",705423,481664,418901,364728,793845
"595990",343094,788351,601882,302426,652660
"600983",481664,705423,551495,601882,730965
"601498",481664,729317,418901,705423,735973
"601882",481664,793845,735973,698672,550783
"606871",350271,481664,729317,705423,793845
"608432",705423,742634,481664,652660,729317
"609202",793845,481664,705423,735973,729317
"609250",481664,729317,705423,735973,350271
"612698",793845,729317,481664,735973,551495
"613088",793845,705423,781253,481664,698672
"613110",652660,793845,729317,481664,698672
"619662",593483,705423,729317,551495,481664
"620056",481664,593483,735973,729317,343094
"621108",481664,350271,593483,595990,675886
"623123",729317,481664,735973,350271,705423
"623652",705423,481664,793845,811651,73917
"623734",481664,729317,595990,528227,350271
"624485",793845,735973,729317,481664,698672
"626872",481664,793845,593483,729317,478448
"627188",73917,481664,642190,705423,174592
"627213",705423,514946,158466,481664,478448
"628465",729317,481664,735973,793845,593483
"629670",729317,735973,350271,595990,481664
"631543",481664,350271,705423,245927,729317
"632434",481664,793845,735973,551495,350271
"634170",735973,593483,705423,481664,755982
"637742",729317,481664,793845,652660,705423
"638555",705423,481664,793845,729317,595990
"639480",481664,729317,793845,291637,418901
"639981",481664,137026,656268,793845,437757
"640062",481664,793845,735973,729317,705423
"640623",481664,245927,601882,305200,255809
