"","Top1_Similar_Hotel","Top2_Similar_Hotel","Top3_Similar_Hotel","Top4_Similar_Hotel","Top5_Similar_Hotel"
"327285",593483,705423,481664,793845,729317
"328723",593483,705423,481664,793845,729317
"331946",593483,705423,481664,793845,729317
"340994",593483,705423,481664,793845,729317
"342540",593483,705423,481664,793845,729317
"343094",593483,705423,481664,793845,729317
"345397",593483,705423,481664,793845,729317
"350271",593483,705423,481664,793845,729317
"356424",593483,705423,481664,793845,729317
"357980",593483,705423,481664,793845,729317
"361342",593483,705423,481664,793845,729317
"362458",593483,705423,481664,793845,729317
"363678",593483,705423,481664,793845,729317
"364728",593483,705423,481664,793845,729317
"366438",593483,705423,481664,793845,729317
"367107",593483,705423,481664,793845,729317
"367491",593483,705423,481664,793845,729317
"370870",593483,705423,481664,793845,729317
"378523",593483,705423,481664,793845,729317
"379143",593483,705423,481664,793845,729317
"379885",593483,705423,481664,793845,729317
"384909",593483,705423,481664,793845,729317
"387644",593483,705423,481664,793845,729317
"390894",593483,705423,481664,793845,729317
"396125",593483,705423,481664,793845,729317
"400325",593483,705423,481664,793845,729317
"402353",593483,705423,481664,793845,729317
"406794",593483,705423,481664,793845,729317
"408794",593483,705423,481664,793845,729317
"410998",593483,705423,481664,793845,729317
"414917",593483,705423,481664,793845,729317
"415619",593483,705423,481664,793845,729317
"418098",593483,705423,481664,793845,729317
"418901",593483,705423,481664,793845,729317
"422044",593483,705423,481664,793845,729317
"431206",593483,705423,481664,793845,729317
"431635",593483,705423,481664,793845,729317
"432233",593483,705423,481664,793845,729317
"434097",593483,705423,481664,793845,729317
"437757",593483,705423,481664,793845,729317
"438089",593483,705423,481664,793845,729317
"440992",593483,705423,481664,793845,729317
"441424",593483,705423,481664,793845,729317
"442105",593483,705423,481664,793845,729317
"443698",593483,705423,481664,793845,729317
"444935",593483,705423,481664,793845,729317
"445345",593483,705423,481664,793845,729317
"445660",593483,705423,481664,793845,729317
"446592",593483,705423,481664,793845,729317
"446999",593483,705423,481664,793845,729317
"447151",593483,705423,481664,793845,729317
"450767",593483,705423,481664,793845,729317
"451719",593483,705423,481664,793845,729317
"460469",593483,705423,481664,793845,729317
"462341",593483,705423,481664,793845,729317
"467103",593483,705423,481664,793845,729317
"474452",593483,705423,481664,793845,729317
"478448",593483,705423,481664,793845,729317
"480245",593483,705423,481664,793845,729317
"481664",593483,705423,793845,729317,735973
"483779",593483,705423,481664,793845,729317
"484836",593483,705423,481664,793845,729317
"485237",593483,705423,481664,793845,729317
"489418",593483,705423,481664,793845,729317
"489832",593483,705423,481664,793845,729317
"494433",593483,705423,481664,793845,729317
"495862",593483,705423,481664,793845,729317
"498514",593483,705423,481664,793845,729317
"502869",593483,705423,481664,793845,729317
"503629",593483,705423,481664,793845,729317
"505012",593483,705423,481664,793845,729317
"505650",593483,705423,481664,793845,729317
"505804",593483,705423,481664,793845,729317
"507598",593483,705423,481664,793845,729317
"510836",593483,705423,481664,793845,729317
"514946",593483,705423,481664,793845,729317
"515088",593483,705423,481664,793845,729317
"515921",593483,705423,481664,793845,729317
"516482",593483,705423,481664,793845,729317
"517092",593483,705423,481664,793845,729317
"517996",593483,705423,481664,793845,729317
"522471",593483,705423,481664,793845,729317
"528022",593483,705423,481664,793845,729317
"528227",593483,705423,481664,793845,729317
"528594",593483,705423,481664,793845,729317
"528704",593483,705423,481664,793845,729317
"530136",593483,705423,481664,793845,729317
"533623",593483,705423,481664,793845,729317
"538723",593483,705423,481664,793845,729317
"539579",593483,705423,481664,793845,729317
"543930",593483,705423,481664,793845,729317
"543932",593483,705423,481664,793845,729317
"544506",593483,705423,481664,793845,729317
"546221",593483,705423,481664,793845,729317
"549310",593483,705423,481664,793845,729317
"550783",593483,705423,481664,793845,729317
"551495",593483,705423,481664,793845,729317
"551606",593483,705423,481664,793845,729317
"552145",593483,705423,481664,793845,729317
"553216",593483,705423,481664,793845,729317
"553514",593483,705423,481664,793845,729317
"555225",593483,705423,481664,793845,729317
"555399",593483,705423,481664,793845,729317
"561022",593483,705423,481664,793845,729317
"561297",593483,705423,481664,793845,729317
"561713",593483,705423,481664,793845,729317
"563682",593483,705423,481664,793845,729317
"564826",593483,705423,481664,793845,729317
"565735",593483,705423,481664,793845,729317
"568005",593483,705423,481664,793845,729317
"568446",593483,705423,481664,793845,729317
"570478",593483,705423,481664,793845,729317
"570753",593483,705423,481664,793845,729317
"571029",593483,705423,481664,793845,729317
"571130",593483,705423,481664,793845,729317
"572208",593483,705423,481664,793845,729317
"575603",593483,705423,481664,793845,729317
"575615",593483,705423,481664,793845,729317
"579851",593483,705423,481664,793845,729317
"580978",593483,705423,481664,793845,729317
"581342",593483,705423,481664,793845,729317
"581869",593483,705423,481664,793845,729317
"582028",593483,705423,481664,793845,729317
"582030",593483,705423,481664,793845,729317
"582121",593483,705423,481664,793845,729317
"582135",593483,705423,481664,793845,729317
"582280",593483,705423,481664,793845,729317
"582382",593483,705423,481664,793845,729317
"584938",593483,705423,481664,793845,729317
"588020",593483,705423,481664,793845,729317
"588059",593483,705423,481664,793845,729317
"588116",593483,705423,481664,793845,729317
"588288",593483,705423,481664,793845,729317
"589194",593483,705423,481664,793845,729317
"589237",593483,705423,481664,793845,729317
"590236",593483,705423,793845,481664,729317
"590386",593483,705423,481664,793845,729317
"590681",593483,705423,481664,793845,729317
"591951",593483,705423,481664,793845,729317
"593101",593483,705423,481664,793845,729317
"593483",705423,481664,793845,729317,735973
"594474",593483,705423,481664,793845,729317
"595990",593483,705423,481664,793845,729317
"600983",593483,705423,481664,793845,729317
"601498",593483,705423,481664,793845,729317
"601882",593483,705423,481664,793845,729317
"606871",593483,705423,481664,793845,729317
"608432",593483,705423,481664,793845,729317
"609202",593483,705423,481664,793845,729317
"609250",593483,705423,481664,793845,729317
"612698",593483,705423,481664,793845,729317
"613088",593483,705423,481664,793845,729317
"613110",593483,705423,481664,793845,729317
"619662",593483,705423,481664,793845,729317
"620056",593483,705423,481664,793845,729317
"621108",593483,705423,481664,793845,729317
"623123",593483,705423,481664,793845,729317
"623652",593483,705423,481664,793845,729317
"623734",593483,705423,481664,793845,729317
"624485",593483,705423,481664,793845,729317
"626872",593483,705423,481664,793845,729317
"627188",593483,705423,481664,793845,729317
"627213",593483,705423,481664,793845,729317
"628465",593483,705423,481664,793845,729317
"629670",593483,705423,481664,793845,729317
"631543",593483,705423,481664,793845,729317
"632434",593483,705423,481664,793845,729317
"634170",593483,705423,481664,793845,729317
"637742",593483,705423,481664,793845,729317
"638555",593483,705423,481664,793845,729317
"639480",593483,705423,481664,793845,729317
"639981",593483,705423,481664,793845,729317
"640062",593483,705423,481664,793845,729317
"640623",593483,705423,481664,793845,729317
"641875",593483,705423,481664,793845,729317
"642190",593483,705423,481664,793845,729317
"642247",593483,705423,481664,793845,729317
"643845",593483,705423,481664,793845,729317
"645568",593483,705423,481664,793845,729317
"645579",593483,705423,481664,793845,729317
"647264",593483,705423,481664,793845,729317
"650232",593483,705423,481664,793845,729317
"650245",593483,705423,481664,793845,729317
"652575",593483,705423,481664,793845,729317
"652660",593483,705423,481664,793845,729317
"652888",593483,705423,481664,793845,729317
"653459",593483,705423,481664,793845,729317
"653596",593483,705423,481664,793845,729317
"654931",593483,705423,481664,793845,729317
"655216",593483,705423,481664,793845,729317
"656268",593483,705423,481664,793845,729317
"658049",593483,705423,481664,793845,729317
"660856",593483,705423,481664,793845,729317
"663390",593483,705423,481664,793845,729317
"663697",593483,705423,481664,793845,729317
"664697",593483,705423,481664,793845,729317
"665134",593483,705423,481664,793845,729317
"665250",593483,705423,481664,793845,729317
"666142",593483,705423,481664,793845,729317
"667305",593483,705423,481664,793845,729317
"667333",593483,705423,481664,793845,729317
"667928",593483,705423,481664,793845,729317
"669729",593483,705423,481664,793845,729317
"670745",593483,705423,481664,793845,729317
"670828",593483,705423,481664,793845,729317
"673453",593483,705423,481664,793845,729317
"675673",593483,705423,481664,793845,729317
"675886",593483,705423,481664,793845,729317
"676922",593483,705423,481664,793845,729317
"678393",593483,705423,481664,793845,729317
"679838",593483,705423,481664,793845,729317
"681038",593483,705423,481664,793845,729317
"682461",593483,705423,481664,793845,729317
"682748",593483,705423,481664,793845,729317
"683431",593483,705423,481664,793845,729317
"685990",593483,705423,481664,793845,729317
"686018",593483,705423,481664,793845,729317
"689623",593483,705423,481664,793845,729317
"690757",593483,705423,481664,793845,729317
"692906",593483,705423,481664,793845,729317
"693432",593483,705423,481664,793845,729317
"693675",593483,705423,481664,793845,729317
"694850",593483,705423,481664,793845,729317
"696113",593483,705423,481664,793845,729317
"698672",593483,705423,481664,729317,793845
"699991",593483,705423,481664,793845,729317
"700797",593483,705423,481664,793845,729317
"700901",593483,705423,481664,793845,729317
"700993",593483,705423,481664,793845,729317
"702120",593483,705423,481664,793845,729317
"702124",593483,705423,481664,793845,729317
"702894",593483,705423,481664,793845,729317
"703616",593483,705423,481664,793845,729317
"705423",593483,481664,793845,729317,735973
"705509",593483,705423,481664,793845,729317
"705935",593483,705423,481664,793845,729317
"706170",593483,705423,481664,793845,729317
"708528",593483,705423,481664,793845,729317
"713557",593483,705423,481664,793845,729317
"713715",593483,705423,481664,793845,729317
"714243",593483,705423,481664,793845,729317
"714520",593483,705423,481664,793845,729317
"714884",593483,705423,481664,793845,729317
"715799",593483,705423,481664,793845,729317
"715856",593483,705423,481664,793845,729317
"716107",593483,705423,481664,793845,729317
"716781",593483,705423,481664,793845,729317
"719623",593483,705423,481664,793845,729317
"721291",593483,705423,481664,793845,729317
"721897",593483,705423,481664,793845,729317
