"","Top1_Similar_Hotel","Top2_Similar_Hotel","Top3_Similar_Hotel","Top4_Similar_Hotel","Top5_Similar_Hotel"
"327285",793845,652660,705423,367107,174592
"328723",735973,481664,793845,645568,27886
"331946",729317,793845,530136,188347,481664
"340994",793845,729317,350271,481664,593483
"342540",350271,593483,793845,528227,481664
"343094",350271,595990,793845,305809,593483
"345397",793845,729317,551495,735973,481664
"350271",343094,582280,29051,445660,788351
"356424",350271,735973,481664,539579,793845
"357980",793845,571130,744659,729317,735973
"361342",793845,729317,735973,551495,83498
"362458",793845,481664,735973,729317,744659
"363678",481664,528594,551495,779225,776288
"364728",793845,735973,570753,415619,784277
"366438",595990,793845,705423,350271,593483
"367107",481664,735973,755431,350271,729317
"367491",793845,593483,735973,350271,481664
"370870",481664,729317,755431,735973,809177
"378523",729317,793845,770281,784277,735973
"379143",793845,705423,582121,350271,141708
"379885",793845,784277,705423,350271,593483
"384909",729317,793845,735973,601882,582280
"387644",735973,793845,27886,593483,350271
"390894",735973,481664,350271,793845,729317
"396125",793845,784277,735973,593483,406794
"400325",793845,613088,481664,52490,551495
"402353",793845,593483,555399,784277,729317
"406794",481664,735973,350271,289071,214531
"408794",793845,729317,705423,219276,735973
"410998",793845,735973,729317,308028,551495
"414917",793845,593483,729317,784277,481664
"415619",481664,735973,729317,793845,255809
"418098",735973,793845,642190,729317,350271
"418901",729317,478448,788351,793845,793499
"422044",793845,551495,729317,788351,735973
"431206",793845,481664,593483,528022,350271
"431635",735973,481664,729317,350271,343094
"432233",481664,793845,551495,735973,729317
"434097",793845,770281,653459,705423,283621
"437757",481664,350271,735973,729317,694850
"438089",793845,593483,481664,735973,551495
"440992",481664,755431,350271,645568,793845
"441424",793845,729317,255177,705423,788351
"442105",729317,793845,593483,735973,27886
"443698",793845,593483,350271,784277,286374
"444935",481664,350271,694850,593101,729317
"445345",793845,481664,528022,593483,735973
"445660",350271,481664,705423,793845,418901
"446592",481664,793845,784277,350271,245927
"446999",793845,350271,481664,656268,780873
"447151",793845,729317,489418,755431,613088
"450767",793845,481664,735973,755431,608432
"451719",735973,481664,729317,793845,350271
"460469",481664,793845,735973,729317,350271
"462341",593483,735973,793845,784277,608432
"467103",735973,481664,350271,645568,245927
"474452",793845,481664,350271,551495,174592
"478448",245927,481664,418901,627213,666142
"480245",735973,289071,481664,793845,729317
"481664",770281,593483,571130,83814,363678
"483779",593483,755431,793845,528227,350271
"484836",729317,593483,793845,481664,735973
"485237",793845,571130,705423,593483,481664
"489418",793845,481664,350271,755431,735973
"489832",793845,729317,593483,551495,735973
"494433",793845,481664,729317,350271,735973
"495862",481664,735973,793845,582280,729317
"498514",793845,729317,593483,735973,811651
"502869",83498,729317,343094,755431,735973
"503629",793845,645568,735973,158466,481664
"505012",481664,735973,793845,68873,683431
"505650",793845,593483,528227,612698,415619
"505804",481664,245927,255177,735973,350271
"507598",793845,735973,729317,744659,593483
"510836",793845,551495,705423,729317,784277
"514946",481664,793845,735973,755431,350271
"515088",793845,593483,272597,714520,705423
"515921",793845,705423,656268,729317,582121
"516482",793845,593483,735973,656268,729317
"517092",729317,289071,255177,481664,528022
"517996",481664,735973,729317,793845,350271
"522471",481664,729317,735973,73917,350271
"528022",793845,528227,593483,595990,437757
"528227",481664,735973,729317,755431,350271
"528594",793845,593483,363678,528227,656268
"528704",481664,793845,779225,350271,613110
"530136",793845,735973,593483,729317,705423
"533623",481664,735973,793845,58211,606871
"538723",793845,481664,735973,729317,593483
"539579",652660,793845,705423,356424,528227
"543930",729317,793845,481664,735973,593483
"543932",793845,291752,551495,75382,343094
"544506",793845,593483,729317,571130,784277
"546221",729317,793845,570753,481664,75444
"549310",793845,593483,705423,571130,735973
"550783",729317,582280,483779,308028,551495
"551495",811651,793845,698672,302426,363678
"551606",481664,350271,793845,729317,735973
"552145",729317,481664,608432,593483,350271
"553216",481664,735973,793845,350271,245927
"553514",793845,593483,555399,481664,551495
"555225",350271,481664,793845,735973,729317
"555399",481664,350271,735973,779175,685990
"561022",793845,481664,188347,729317,735973
"561297",793845,571130,350271,735973,550783
"561713",793845,729317,593483,705423,27886
"563682",793845,735973,729317,613088,478448
"564826",735973,793845,481664,729317,779175
"565735",481664,793845,735973,729317,794322
"568005",350271,255809,793845,551495,291752
"568446",793845,356424,705423,245927,590386
"570478",350271,779225,481664,793845,666142
"570753",793845,481664,678393,779225,595990
"571029",729317,343094,793845,481664,528227
"571130",481664,137026,75444,302426,561297
"572208",729317,793845,593483,481664,735973
"575603",793845,729317,593483,613088,571130
"575615",481664,645568,729317,291637,483779
"579851",793845,705423,528227,784277,62801
"580978",481664,729317,350271,802052,779225
"581342",793845,608432,729317,619662,481664
