"","Top1_Hotel","Top2_Hotel","Top3_Hotel","Top4_Hotel","Top5_Hotel"
"2510107","729395","306852","561297","441424","582028"
"2524784","772511","55621","221943","342540","494433"
"2526812","528227","768737","189754","699991","240191"
"2536879",NA,NA,NA,NA,NA
"2547605","713715","193038","198307","297220","640623"
"2574458","193038","753720","53067","221943","327285"
"2597146","746807","379143","755982","311124","528594"
"2667507","221922","700797","582030","327285","522471"
"2674028","361342","474452","627213","356424","800723"
"2677887","64769","68873","199844","364728","308028"
"2686549",NA,NA,NA,NA,NA
"2691000","53692","286500","744574","50515","80635"
"2694521","367107","193038","637742","57978","205759"
"2698418","302426","505804","682748","213371","447151"
"2699033","517092","652575","350271","667333","810730"
"2707013","656268","256670","653596","742160","55621"
"2709101","771758","451719","700901","791690","515088"
"2719162",NA,NA,NA,NA,NA
"2724950","327285","690757","219276","184282","282269"
"2737248","361342","222516","294468","498514","43109"
"2740598","609202","553514","91535","402353","626872"
"2773540","761411","722997","735973","203658","230710"
"2778131","591951","75382","300067","366438","438089"
"2807294","793499","582382","445345","570753","791690"
"2809789","422044","639981","776288","784277","43980"
"2816647","212050","400325","283621","800095","107195"
"2819553","771217","171631","771758","277011","311584"
"2820580","698672","807269","49552","73208","489418"
"2826744","612698","43109","693675","735973","758475"
"2847616",NA,NA,NA,NA,NA
"2856748","361342","205759","396125","498514","27886"
"2865695",NA,NA,NA,NA,NA
"2868026","221922","758475","83498","514946","639480"
"2871270","410998","29051","108890","729260","44129"
"2871930","222516","294468","494433","729395","253792"
"2900177","760035","770281","152280","481664","44129"
"2912814","410998","171054","69042","294468","108890"
"2923773",NA,NA,NA,NA,NA
"2924208","255177","582028","734886","590681","200461"
"2941133","305809","73208","214531","286500","50523"
"2944771","572208","483779","515921","641875","715799"
"2952948","533623","714520","43980","658049","768737"
"2957606","505650","591951","744520","96048","582030"
"2965087","184282","282269","434097","443698","775655"
"2969181","438089","715856","55709","390894","515088"
"2969256","772511","271787","771343","55621","189754"
"2976221",NA,NA,NA,NA,NA
"2991842","503629","612698","754020","771758","302426"
"3000454","629670","778820","582382","640062","702124"
"3026717","311694","80635","650245","130390","582135"
"3042726","572208","165833","444935","600983","631543"
"3043156","189754","744520","311584","27886","641875"
"3061513",NA,NA,NA,NA,NA
"3071046","345397","503629","579851","539579","543930"
"3080120","572208","396125","660856","811651","214531"
"3085202","705423","367107","190943","447151","679838"
"3093794","699991","2818","307497","120872","478448"
"3122261","613088","255177","570753","629670","715799"
"3133489","613110","628465","637742","418901","546221"
"3146037","286374","290701","621108","563682","73208"
"3146203","286374","784277","302426","561297","44129"
"3181427","771758","327285","357980","422044","431635"
"3192554","55621","771343","639981","530136","665250"
"3204169","629670","778820","729395","760035","221922"
"3217422","50570","120872","561022","789743","290701"
"3224082","80635","198307","665134","515088","584938"
"3241444",NA,NA,NA,NA,NA
"3241922",NA,NA,NA,NA,NA
"3260074","276275","564826","291752","38266","55703"
"3260805","568446","38266","350271","721291","46386"
"3278419","91535","446592","63872","410998","613110"
"3279032","724346","593101","713715","370870","608432"
"3281295","137026","528227","48076","446592","744659"
"3287406","284319","80635","171631","364728","713715"
"3308880","205759","753720","236632","652888","702120"
"3314075","495862","742634","794322","489832","705423"
"3315379","732509","62015","434097","544506","747847"
"3327797","444935","600983","631543","656268","189754"
"3341071","91535","311694","345397","68873","230710"
"3356377",NA,NA,NA,NA,NA
"3375808","328723","641875","319985","414917","744386"
"3386366","378523","481664","64769","690757","780873"
"3399045","593101","254800","627213","43980","150634"
"3441513","515088","768274","361342","582028","311124"
"3466926","282269","293337","505650","665134","189754"
"3477524","193038","396125","84057","200461","670745"
"3478967","533623","434097","80635","650245","305809"
"3492012","402353","49552","158466","52490","451719"
"3505809","91535","366438","779297","118302","620056"
"3505991","584938","46386","169356","396125","507598"
"3544416",NA,NA,NA,NA,NA
"3545120","771217","666142","801544","546221","118302"
"3556952","171054","612698","572208","309436","660856"
"3576778","328723","415619","43109","693675","735973"
"3590237","446592","286374","319985","328723","714243"
"3595270","445345","546221","55709","118117","785432"
"3597538","311584","570753","205759","396125","637742"
"3601645","290701","590236","415619","483779","742160"
"3608337",NA,NA,NA,NA,NA
"3628337","642247","494433","277011","582121","653596"
"3631890","255809","450767","544506","669729","741398"
"3644216","320689","203658","283170","645568","690757"
"3644637","693675","83498","107972","367107","700993"
"3647272","222516","286374","744520","57978","637742"
"3651457","55621","771343","56879","551495","277011"
"3653201","742160","553514","361342","572208","402353"
"3663776","73208","49552","158466","546221","277011"
"3680046","650232","742160","793499","29051","481664"
"3718408","543932","205759","498514","637742","75444"
"3723952","794927","327285","522471","760599","561713"
"3724795",NA,NA,NA,NA,NA
"3758910","222516","623734","670745","784543","283621"
"3765319","378523","783348","503629","53671","571029"
"3766012",NA,NA,NA,NA,NA
"3788782","650245","64769","682748","44129","184282"
"3821129","434097","771343","64769","503629","443698"
"3825509","568446","396125","350271","141708","498514"
"3846003","237017","716107","179528","236632","396125"
"3855104","342540","620056","258273","314082","189754"
"3886540",NA,NA,NA,NA,NA
"3886755",NA,NA,NA,NA,NA
"3892074","489832","705423","107195","593483","779225"
"3892282","670745","96048","130390","305809","308028"
"3955041","255202","693432","754613","751774","754020"
"3960806","568446","582382","798941","467103","350271"
"3977053",NA,NA,NA,NA,NA
"3984496","408794","97221","184282","450767","528594"
"4017740","422044","431635","272597","27886","715799"
"4046204","286374","193038","198307","297220","779225"
"4046972","291752","422044","431635","760035","770281"
"4056223","742160","621108","572208","27886","582028"
"4084012","120872","443698","55868","418901","245927"
"4097500","515088","528594","589237","582382","328723"
"4100482","650232","115795","343094","390894","550783"
"4100544","619662","730965","120872","561022","789743"
"4106698","533623","222516","724346","294468","293337"
"4108308","582028","734886","200461","230710","619662"
"4117053","221922","593101","713715","64769","68873"
"4155386","291752","222516","245927","608432","658049"
"4156667",NA,NA,NA,NA,NA
"4165820","772511","744520","345397","572208","794322"
"4175055","291752","608432","572208","613110","640062"
"4179993","742160","198307","254104","699991","642247"
"4180511","252080","340994","43980","467103","612698"
"4187551","205759","498514","637742","75382","771343"
"4188252","182839","305200","311124","528594","582030"
"4189952","82482","642190","308028","758475","255809"
"4193761","637742","212050","621108","205759","328723"
"4198054","253650","732509","53671","120872","443698"
"4202425","254104","794927","96048","582121","593101"
"4252277","237017","716107","328723","289071","444935"
"4260264","702894","489418","530136","676922","702124"
"4272620","656268","286374","291752","606871","171054"
"4280207","735973","83814","84057","53671","357980"
"4281147","612698","729395","357980","306852","561297"
"4286813",NA,NA,NA,NA,NA
"4309450","254104","760035","770281","443698","418098"
"4314129","742160","53671","361342","431206","572208"
"4330819","297220","489832","485237","107195","593483"
"4363352","772511","69042","96048","434097","563682"
"4364462","485237","75382","271787","408794","553216"
"4369217","286500","572208","342540","189754","643845"
"4380449",NA,NA,NA,NA,NA
"4381542","422044","431635","516482","787331","776288"
"4387197","291752","608432","165833","444935","600983"
"4412129","606871","182839","609250","715799","217692"
"4415881","591951","253650","55703","271787","590236"
"4438302","253650","732509","754613","222516","245927"
"4443833","612698","311694","253650","50515","582135"
"4447646","533623","305809","703616","226121","350271"
"4456680",NA,NA,NA,NA,NA
"4458062","593101","713715","631543","357980","182839"
"4459890",NA,NA,NA,NA,NA
"4489932","637742","311694","205759","328723","800095"
