"","Top1_Hotel","Top2_Hotel","Top3_Hotel","Top4_Hotel","Top5_Hotel"
"2499364","84057","101618","327285","647264","236632"
"2510107","29051","75382","184282","418098","467103"
"2524784","199844","626872","663697","754020","780873"
"2526812","247805","286374","378523","306852","515921"
"2536879","44391","306852","582135","693432","253650"
"2547605","63872","253650","350271","676922","729395"
"2574458","306852","582028","593101","63872","83498"
"2597146","53067","189754","418098","418901","551606"
"2667507","663697","754020","55256","118302","221922"
"2674028","20168","55621","189754","307497","582030"
"2677887","107972","189754","284319","370870","601498"
"2686549","286374","601882","652660","780873","64769"
"2691000","663697","432233","582135","584938","620056"
"2694521","184282","293337","551495","582280","601882"
"2698418","67841","357980","97221","293514","442105"
"2699033","198307","254104","418098","582135","595990"
"2707013","328723","551495","551606","637742","751774"
"2709101","546221","406794","517092","620056","700901"
"2719162","744386","570753","46386","50523","165833"
"2724950","320689","327285","56879","96048","189754"
"2737248","590681","222516","402353","431635","517092"
"2740598","291752","516482","582028","652660","667305"
"2773540","744158","367491","44129","396125","437757"
"2778131","793845","255177","366438","367107","203658"
"2807294","236632","515088","555399","593101","595990"
"2809789","83498","342540","402353","600983","631543"
"2816647","52490","255177","593101","794322","62015"
"2819553","174592","740374","771217","49552","311584"
"2820580","728713","240191","364728","467103","600983"
"2826744","184282","254800","314235","626872","641875"
"2847616","255202","639981","642247","27886","29051"
"2856748","650232","728144","754613","772511","776288"
"2865695","118097","171631","582030","637742","664697"
"2868026","80635","277011","628465","771758","43980"
"2871270","431206","608432","665134","703616","744386"
"2871930","753720","222516","237017","277011","442105"
"2900177","357980","432233","584938","620056","686018"
"2912814","593101","222516","516482","742160","294468"
"2923773","450767","505804","714884","528022","55621"
"2924208","75444","740374","255177","515921","793845"
"2941133","73208","364728","638555","771217","43980"
"2944771","29051","516482","551495","700993","746067"
"2952948","50515","55709","626872","627213","665250"
"2957606","42970","593101","708528","779175","793845"
"2965087","306852","816048","213371","485237","613088"
"2969181","84057","759402","118097","189754","291752"
"2969256","328723","342540","575615","612698","650245"
"2976221","362458","444935","505804","582030","50515"
"2991842","83498","214531","367491","396125","418901"
"3000454","515921","647264","653596","735973","189754"
"3026717","107972","284319","370870","791690","811651"
"3042726","165833","363678","366438","444935","543930"
"3043156","400325","781253","43109","191404","203658"
"3061513","137026","286500","366438","588059","634170"
"3071046","75444","237017","319985","343094","515088"
"3080120","319985","343094","643845","660856","612698"
"3085202","384909","505012","791690","645579","64769"
"3093794","301220","584938","667928","741398","293337"
"3122261","64736","150634","255177","654931","744386"
"3133489","306852","361342","396125","517996","582028"
"3146037","44129","653596","165833","328723","514946"
"3146203","53692","327285","675886","724346","42970"
"3181427","291752","516482","667305","722997","771217"
"3192554","516482","564826","665134","728713","502869"
"3204169","593483","189754","222516","582280","631543"
"3217422","356424","794322","807531","203658","406794"
"3224082","538723","53692","49552","255202","311584"
"3241444","107195","203658","444935","546221","703616"
"3241922","184282","306852","357980","638555","771217"
"3260074","438089","623734","779297","53692","55703"
"3260805","55621","627188","663390","703616","772511"
"3278419","64736","681038","256670","307497","653459"
"3279032","528022","356424","794322","198307","254104"
"3281295","589194","629670","494433","130390","43980"
"3287406","115795","364728","284319","627213","642190"
"3308880","80635","582030","43109","120872","379143"
"3314075","52490","366438","379885","609202","713715"
"3315379","613088","702120","789630","775655","528227"
"3327797","699991","584938","600983","650245","693675"
"3341071","306852","485237","798941","645579","27886"
"3356377","83498","214531","708528","793845","640623"
"3375808","205759","362458","364728","515088","561713"
"3386366","379143","445345","693675","698672","740374"
"3399045","601882","780873","367491","56879","62801"
"3441513","740995","761411","780873","2818","64736"
"3466926","174592","431635","582135","665134","702120"
"3477524","219276","367107","444935","700797","779175"
"3478967","305809","328723","664697","751774","800095"
"3492012","650245","699991","80635","305200","460469"
"3505809","56879","171631","517996","582028","418098"
"3505991","606871","629670","785432","221922","226121"
"3544416","200461","561713","613088","702120","789630"
"3545120","83814","780873","55621","772511","255809"
"3556952","253650","277011","505804","530136","655216"
"3576778","44391","460469","581342","52490","64736"
"3590237","53671","56879","67841","422044","601882"
"3595270","64736","118117","150634","255177","290701"
"3597538","118302","165833","184282","189754","205759"
"3601645","80635","590236","699991","776288","791690"
"3608337","64769","184282","489832","254800","528704"
"3628337","67841","256670","307497","357980","84057"
"3631890","55703","203658","307497","327285","588059"
"3644216","171631","460469","551606","746067","746807"
"3644637","43980","83814","478448","653596","528594"
"3647272","515921","118097","255809","779225","800723"
"3651457","42970","250751","306852","415619","689623"
"3653201","396125","418901","637742","363678","679838"
"3663776","49552","171631","293337","447151","551606"
"3680046","203658","307497","327285","588059","613088"
"3718408","641875","515921","67841","250751","582028"
"3723952","83814","713715","716107","50515","219276"
"3724795","396125","422044","189754","205759","291752"
"3758910","283621","396125","561297","673453","681038"
"3765319","364728","489832","378523","184282","363678"
"3766012","97221","293514","442105","673453","754613"
"3788782","277011","20168","162467","568446","700901"
"3821129","582028","80635","171631","219276","277011"
"3825509","670828","396125","495862","498514","613088"
"3846003","571029","631543","331946","396125","62801"
"3855104","345397","294468","408794","575603","753720"
"3886540","91535","184282","294468","483779","38266"
"3886755","282269","759402","83498","189754","217692"
"3892074","255809","258273","328723","702120","779225"
"3892282","64736","327285","642190","675886","686018"
"3955041","286500","771217","55621","56879","152280"
"3960806","627213","678393","38266","62015","75444"
"3977053","57978","442105","582028","637742","639480"
"3984496","83498","408794","626872","744158","29051"
"4017740","189754","446999","53692","75382","236632"
"4046204","222516","379143","528022","582135","582280"
"4046972","198307","254104","582135","595990","623734"
"4056223","366438","593101","294468","307470","200461"
"4084012","226121","308028","350271","627188","696113"
"4097500","613088","755982","43980","118097","165833"
"4100482","20168","43109","120872","319985","379143"
"4100544","517092","620056","645568","700901","84057"
"4106698","75382","613110","305809","363678","551495"
"4108308","307470","652575","713557","715856","379143"
"4117053","639981","75444","115795","343094","505012"
"4155386","198307","212050","441424","626872","693432"
"4156667","515088","205759","331946","366438","434097"
"4165820","370870","653459","53692","678393","716781"
"4175055","118117","118302","307470","356424","543930"
"4179993","48076","64736","73917","236632","505804"
"4180511","50515","55256","165833","221922","290701"
"4187551","199844","444935","551495","645579","255202"
"4188252","64736","130390","150634","255177","460469"
"4189952","293337","406794","638555","652888","779175"
"4193761","97221","528022","754613","673453","64769"
"4198054","47061","432233","650245","653459","665134"
"4202425","293337","304082","396125","544506","571029"
"4252277","56879","593483","43980","284319","670828"
"4260264","42970","49552","118097","165833","212050"
"4272620","46386","64736","150634","198307","254104"
"4280207","50518","642247","787331","64736","96048"
"4281147","715799","118117","498514","546221","590236"
"4286813","252080","253650","350271","729395","802052"
"4309450","62801","253650","498514","396125","219276"
"4314129","55709","561713","58211","252080","494433"
"4330819","579851","793845","445345","776288","171631"
"4363352","494433","653596","772511","27886","728713"
"4364462","505804","703616","252080","593483","637742"
"4369217","575603","582135","693675","771758","64769"
"4380449","340994","593483","638555","689623","801544"
"4381542","798941","83498","175989","445345","538723"
"4387197","25428","50523","219276","301220","363678"
"4412129","48076","64736","73917","236632","505804"
"4415881","402353","517092","600983","647264","744520"
"4438302","205759","516482","561713","667305","722997"
"4443833","528227","55709","191404","350271","483779"
"4447646","771758","642247","53067","55807","73208"
"4456680","571029","770281","639981","789630","64769"
"4458062","422044","528022","171631","450767","489418"
"4459890","53067","67841","305809","653596","670828"
"4489932","47061","84057","294468","553216","593101"
"4502294","286500","28871","55621","75444","213371"
"4503528","809177","222516","255809","744659","793845"
"4505941","108890","219276","301220","434097","665134"
"4519705","73208","84057","118117","96048","200461"
"4521818","740374","27886","38266","44391","460469"
"4522084","62801","101618","254104","431206","498514"
"4532209","2818","230710","305200","722997","735973"
"4537149","314235","357980","286374","579851","64769"
"4579320","49552","311584","402353","434097","741398"
"4579810","571029","650232","700797","55709","191404"
"4616538","27886","42970","64769","97476","199844"
"4632845","700797","744659","286374","307470","96048"
"4641285","716107","378523","432233","584938","620056"
"4644013","212050","293337","327285","793845","515921"
"4651226","165833","340994","593483","638555","689623"
"4663170","489832","613088","700797","582028","746067"
"4668971","308028","400325","460469","517092","582028"
"4688823","236632","434097","708528","642247","20168"
"4690432","489832","575603","613088","700797","783348"
"4691280","245927","528227","673453","746067","53692"
"4715209","305809","514946","561713","620056","628465"
"4722235","584938","601882","667928","741398","384909"
"4726648","571029","29051","75444","118097","137026"
"4735650","115795","306852","528227","650245","396125"
"4765752","49552","236632","515921","694850","55256"
"4799505","652888","282269","444935","638555","641875"
"4827205","43980","83814","55256","55621","189754"
"4830630","528227","217692","293337","396125","729260"
"4831627","64736","361342","406794","517996","118097"
"4875280","171631","551606","746067","746807","50570"
"4891238","450767","582280","214531","286500","528022"
"4897970","212050","237017","538723","634170","650245"
"4901980","667305","165833","444935","656268","740995"
"4905127","64736","418098","422044","42970","50523"
"4935243","46386","83498","107195","130390","199844"
"4937229","658049","515088","555399","571029","582135"
"4938413","222516","226121","83814","118302","255177"
"4945128","582135","619662","669729","722997","754613"
"4959941","396125","445345","447151","561297","673453"
"4976553","378523","515921","694850","80635","118097"
"5011601","658049","810730","286374","309436","582135"
"5022420","57978","205759","442105","582028","637742"
"5023084","58211","505804","802052","53067","555225"
"5037898","38266","46386","171631","212050","350271"
"5039682","343094","410998","444935","544506","631543"
"5039919","811651","300067","728145","64769","314082"
"5044001","528022","42970","49552","75444","311584"
"5058598","198307","582135","595990","606871","623734"
"5062046","67841","213371","240191","250751","575615"
"5064424","290701","291752","305809","327285","379143"
"5093231","83498","174592","402353","431635","665134"
"5127223","199844","444935","551495","645579","222516"
"5134169","200461","286374","304082","390894","575603"
"5134833","64769","83814","152280","467103","516482"
"5155963","49552","203658","367491","447151","507598"
"5196152","742160","118302","137026","184282","255177"
"5207679","44129","69042","193038","255809","294468"
"5268852","198307","418098","441424","582135","595990"
"5290998","700797","784277","290701","396125","27886"
"5299179","63872","83498","115795","189754","222516"
"5330753","118117","286374","309436","356424","538723"
"5336046","43980","118097","396125","694850","794927"
"5351733","43980","52490","366438","379885","609202"
"5379475","46386","294468","314235","528704","742160"
"5384133","760599","343094","703616","779225","49552"
"5385464","623734","713715","64736","645568","676922"
"5399286","628465","55703","189754","226121","308028"
"5403147","83498","203658","219276","274688","367107"
"5412054","52490","64736","363678","645568","666142"
"5435558","489832","311584","693432","744659","379143"
"5445555","640623","650245","750743","755431","305809"
"5446448","262394","350271","621108","692906","729395"
"5461945","55621","96048","588020","746807","193038"
"5484579","53692","75382","141708","236632","418901"
"5495353","305200","628465","758600","771758","800095"
"5513568","744158","271787","539579","582382","800095"
"5527039","561022","640062","693432","20168","49552"
"5537923","49552","53692","55703","331946","582382"
"5558015","118302","205759","255177","396125","543930"
"5560205","84057","702894","754613","759060","236632"
"5574416","590236","742160","214531","708528","55703"
"5582413","137026","293337","626872","664697","600983"
"5604808","53692","55807","73208","783348","53067"
"5619477","27886","107972","480245","485237","802052"
"5646154","515088","213371","613088","816048","631543"
"5646772","780873","226121","255809","293514","314235"
"5647495","437757","44129","69042","193038","255809"
"5667389","44391","693432","50515","53692","118302"
"5669252","214531","708528","80635","188347","342540"
"5681109","44391","203658","217692","432233","460469"
"5694124","107195","277011","462341","609202","667928"
"5706763","171631","460469","551606","744158","746067"
"5719622","27886","58211","252080","582028","641875"
"5720466","171631","460469","551606","746067","746807"
"5732915","118117","240191","431206","467103","608432"
